driver,year,tc_loss_ha
Hard commodities,2002,12166
Hard commodities,2003,14138
Hard commodities,2004,18662
Hard commodities,2005,19191
Hard commodities,2006,19386
Hard commodities,2007,32085
Hard commodities,2008,29753
Hard commodities,2009,34560
Hard commodities,2010,37587
Hard commodities,2011,59268
Hard commodities,2012,74085
Hard commodities,2013,40401
Hard commodities,2014,79172
Hard commodities,2015,55369
Hard commodities,2016,78356
Hard commodities,2017,85112
Hard commodities,2018,68801
Hard commodities,2019,71900
Hard commodities,2020,67204
Hard commodities,2021,71367
Hard commodities,2022,84773
Hard commodities,2023,105018
Hard commodities,2024,111021
Hard commodities,2025,112830
Logging,2002,137770
Logging,2003,112226
Logging,2004,241079
Logging,2005,203522
Logging,2006,171330
Logging,2007,202972
Logging,2008,188207
Logging,2009,223785
Logging,2010,231973
Logging,2011,239391
Logging,2012,316188
Logging,2013,195012
Logging,2014,343735
Logging,2015,297390
Logging,2016,360991
Logging,2017,340789
Logging,2018,329898
Logging,2019,304873
Logging,2020,243031
Logging,2021,209746
Logging,2022,263989
Logging,2023,267594
Logging,2024,267812
Logging,2025,271074
Other natural disturbances,2002,26677
Other natural disturbances,2003,28128
Other natural disturbances,2004,34431
Other natural disturbances,2005,40096
Other natural disturbances,2006,37381
Other natural disturbances,2007,49476
Other natural disturbances,2008,46902
Other natural disturbances,2009,54254
Other natural disturbances,2010,92840
Other natural disturbances,2011,71965
Other natural disturbances,2012,86191
Other natural disturbances,2013,59266
Other natural disturbances,2014,106291
Other natural disturbances,2015,80181
Other natural disturbances,2016,196596
Other natural disturbances,2017,271336
Other natural disturbances,2018,92276
Other natural disturbances,2019,117483
Other natural disturbances,2020,108112
Other natural disturbances,2021,83295
Other natural disturbances,2022,88510
Other natural disturbances,2023,92643
Other natural disturbances,2024,121998
Other natural disturbances,2025,105390
Permanent agriculture,2002,2074129
Permanent agriculture,2003,1992184
Permanent agriculture,2004,2702880
Permanent agriculture,2005,2630096
Permanent agriculture,2006,2157064
Permanent agriculture,2007,2034405
Permanent agriculture,2008,2024520
Permanent agriculture,2009,1918235
Permanent agriculture,2010,2197573
Permanent agriculture,2011,1865934
Permanent agriculture,2012,2452807
Permanent agriculture,2013,1574677
Permanent agriculture,2014,2054586
Permanent agriculture,2015,1610239
Permanent agriculture,2016,2723539
Permanent agriculture,2017,2514851
Permanent agriculture,2018,2037224
Permanent agriculture,2019,2062444
Permanent agriculture,2020,2104341
Permanent agriculture,2021,2122805
Permanent agriculture,2022,2335217
Permanent agriculture,2023,1733623
Permanent agriculture,2024,1992084
Permanent agriculture,2025,1365768
Settlements & Infrastructure,2002,3698
Settlements & Infrastructure,2003,2751
Settlements & Infrastructure,2004,4345
Settlements & Infrastructure,2005,4442
Settlements & Infrastructure,2006,4208
Settlements & Infrastructure,2007,4663
Settlements & Infrastructure,2008,4766
Settlements & Infrastructure,2009,5606
Settlements & Infrastructure,2010,5685
Settlements & Infrastructure,2011,4705
Settlements & Infrastructure,2012,5163
Settlements & Infrastructure,2013,3867
Settlements & Infrastructure,2014,6469
Settlements & Infrastructure,2015,4324
Settlements & Infrastructure,2016,6828
Settlements & Infrastructure,2017,7535
Settlements & Infrastructure,2018,4778
Settlements & Infrastructure,2019,4486
Settlements & Infrastructure,2020,4447
Settlements & Infrastructure,2021,3538
Settlements & Infrastructure,2022,3781
Settlements & Infrastructure,2023,3709
Settlements & Infrastructure,2024,3590
Settlements & Infrastructure,2025,4113
Shifting cultivation,2002,338483
Shifting cultivation,2003,223540
Shifting cultivation,2004,316045
Shifting cultivation,2005,325953
Shifting cultivation,2006,330211
Shifting cultivation,2007,378187
Shifting cultivation,2008,319978
Shifting cultivation,2009,466891
Shifting cultivation,2010,465422
Shifting cultivation,2011,339397
Shifting cultivation,2012,436737
Shifting cultivation,2013,621491
Shifting cultivation,2014,786751
Shifting cultivation,2015,621897
Shifting cultivation,2016,932760
Shifting cultivation,2017,916190
Shifting cultivation,2018,839805
Shifting cultivation,2019,797890
Shifting cultivation,2020,872230
Shifting cultivation,2021,789307
Shifting cultivation,2022,818418
Shifting cultivation,2023,901836
Shifting cultivation,2024,912492
Shifting cultivation,2025,850420
Wildfire,2002,60758
Wildfire,2003,105475
Wildfire,2004,70481
Wildfire,2005,95031
Wildfire,2006,83311
Wildfire,2007,190325
Wildfire,2008,88126
Wildfire,2009,81478
Wildfire,2010,256222
Wildfire,2011,151803
Wildfire,2012,179226
Wildfire,2013,124306
Wildfire,2014,182163
Wildfire,2015,252541
Wildfire,2016,1815654
Wildfire,2017,848952
Wildfire,2018,268057
Wildfire,2019,384399
Wildfire,2020,800591
Wildfire,2021,459618
Wildfire,2022,511927
Wildfire,2023,629290
Wildfire,2024,3316433
Wildfire,2025,1569104
