country,tc_loss_ha
Russia,92122406
Brazil,76185197
Canada,68872660
United States,51036106
Indonesia,33124937
Democratic Republic of the Congo,22360012
China,13417519
Bolivia,10543891
Malaysia,9776811
Australia,9602438
Paraguay,7368768
Argentina,7166625
Sweden,6418316
Colombia,5788733
México,5440364
Madagascar,5416002
Laos,5393325
Myanmar,5374287
Finland,5092588
Mozambique,4843416
Angola,4607942
Peru,4599730
Côte d'Ivoire,4198745
Vietnam,3805663
Tanzania,3679482
Cambodia,2980591
Zambia,2942805
Thailand,2802724
Liberia,2667941
Venezuela,2630646
