country,Hard commodities,Logging,Other natural disturbances,Permanent agriculture,Settlements & Infrastructure,Shifting cultivation,Wildfire
Russia,844457.0,19663665.0,2050327.0,62948.0,101235.0,174.0,65762567.0
Brazil,414653.0,5984939.0,999532.0,54122329.0,207127.0,1694548.0,9721932.0
Canada,298578.0,18985182.0,909420.0,405081.0,144073.0,0.0,41719514.0
United States,319111.0,30500211.0,833363.0,1924542.0,1681397.0,0.0,14053382.0
Indonesia,719506.0,3388139.0,339236.0,22860747.0,130057.0,2208128.0,2262392.0
Democratic Republic of the Congo,94450.0,155628.0,79740.0,2930217.0,100151.0,17430451.0,211918.0
China,298795.0,9561102.0,102470.0,1236102.0,639854.0,140458.0,693561.0
Bolivia,17780.0,67929.0,423530.0,5614026.0,17054.0,178933.0,3435589.0
Malaysia,174605.0,1854077.0,36813.0,6999700.0,173315.0,203229.0,66302.0
Australia,56695.0,1519451.0,62688.0,270843.0,82472.0,256.0,7200302.0
Paraguay,2527.0,67064.0,42249.0,6729224.0,16503.0,612.0,350902.0
Argentina,12096.0,733700.0,105067.0,5605834.0,59073.0,574.0,422040.0
Sweden,16046.0,6020249.0,1744.0,4846.0,45783.0,0.0,32203.0
Colombia,31102.0,96038.0,121940.0,4972071.0,14606.0,298787.0,38292.0
México,29410.0,66350.0,72874.0,4099046.0,68312.0,325563.0,523195.0
